repo_name,act_type,isbot,date_month,activity
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2018-03,13
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2018-08,3
pmatseykanets/laravel-scout-postgres,CODE,0,2018-09,6
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2018-09,2
pmatseykanets/laravel-scout-postgres,CODE,0,2018-10,9
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2018-10,1
pmatseykanets/laravel-scout-postgres,CODE,0,2018-11,1
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2018-11,3
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2019-01,1
pmatseykanets/laravel-scout-postgres,CODE,0,2019-03,2
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2019-03,3
pmatseykanets/laravel-scout-postgres,CODE,0,2019-09,6
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2019-09,7
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2019-11,1
pmatseykanets/laravel-scout-postgres,CODE,0,2020-03,5
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2020-03,3
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2020-06,1
pmatseykanets/laravel-scout-postgres,CODE,0,2020-09,10
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2020-09,9
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2020-11,2
pmatseykanets/laravel-scout-postgres,CODE,0,2020-12,1
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2020-12,1
pmatseykanets/laravel-scout-postgres,CODE,0,2021-01,2
pmatseykanets/laravel-scout-postgres,CODE,0,2021-02,1
pmatseykanets/laravel-scout-postgres,NON_CODE,0,2021-02,2
pmatseykanets/laravel-scout-postgres,CODE,0,2021-07,1
pyaesone17/active-state,CODE,0,2016-01,18
pyaesone17/active-state,CODE,0,2016-02,4
pyaesone17/active-state,CODE,0,2016-11,1
pyaesone17/active-state,NON_CODE,0,2017-01,6
pyaesone17/active-state,CODE,0,2017-03,3
pyaesone17/active-state,CODE,0,2017-05,3
pyaesone17/active-state,NON_CODE,0,2017-05,3
pyaesone17/active-state,CODE,0,2017-06,17
pyaesone17/active-state,NON_CODE,0,2017-06,5
pyaesone17/active-state,CODE,0,2017-08,1
pyaesone17/active-state,CODE,0,2017-09,4
pyaesone17/active-state,NON_CODE,0,2017-09,2
pyaesone17/active-state,NON_CODE,0,2017-10,2
pyaesone17/active-state,NON_CODE,0,2017-11,9
pyaesone17/active-state,NON_CODE,0,2018-06,1
pyaesone17/active-state,NON_CODE,0,2019-01,1
ramadani/catagger,CODE,0,2016-10,12
ramadani/catagger,CODE,0,2016-11,1
ricoa/laravel-auth,CODE,0,2016-09,9
ricoa/laravel-auth,CODE,0,2017-01,1
ricoa/laravel-auth,CODE,0,2017-02,25
ricoa/laravel-auth,CODE,0,2018-06,3
ricoa/laravel-auth,CODE,0,2018-08,4
rtamizh/realtime-push,CODE,0,2016-10,18
ryanwinchester/laravel-paginates,CODE,0,2016-10,4
ryanwinchester/laravel-paginates,CODE,0,2017-10,13
ryanwinchester/laravel-paginates,CODE,0,2017-11,2
sanusb-grupo/wireless-monitor,CODE,0,2016-08,9
sanusb-grupo/wireless-monitor,NON_CODE,0,2016-08,4
sanusb-grupo/wireless-monitor,CODE,0,2016-09,100
sanusb-grupo/wireless-monitor,NON_CODE,0,2016-09,37
sanusb-grupo/wireless-monitor,CODE,0,2016-10,9
sanusb-grupo/wireless-monitor,NON_CODE,0,2016-11,2
sanusb-grupo/wireless-monitor,NON_CODE,0,2017-01,1
sanusb-grupo/wireless-monitor,CODE,0,2017-06,3
sanusb-grupo/wireless-monitor,NON_CODE,0,2017-06,1
sanusb-grupo/wireless-monitor,CODE,0,2017-07,12
sanusb-grupo/wireless-monitor,NON_CODE,0,2017-07,2
sanusb-grupo/wireless-monitor,CODE,0,2017-08,3
sanusb-grupo/wireless-monitor,NON_CODE,0,2017-08,2
sanusb-grupo/wireless-monitor,CODE,0,2017-09,3
sanusb-grupo/wireless-monitor,NON_CODE,0,2017-09,1
sanusb-grupo/wireless-monitor,CODE,0,2019-07,1
sanusb-grupo/wireless-monitor,CODE,1,2019-07,2
sanusb-grupo/wireless-monitor,CODE,0,2019-09,11
sanusb-grupo/wireless-monitor,CODE,1,2019-09,23
sanusb-grupo/wireless-monitor,NON_CODE,1,2019-09,1
sanusb-grupo/wireless-monitor,CODE,0,2020-03,1
sanusb-grupo/wireless-monitor,CODE,1,2020-03,2
sanusb-grupo/wireless-monitor,CODE,1,2020-04,2
sanusb-grupo/wireless-monitor,CODE,0,2020-05,1
sanusb-grupo/wireless-monitor,CODE,0,2020-06,1
sanusb-grupo/wireless-monitor,CODE,1,2020-12,1
sanusb-grupo/wireless-monitor,CODE,1,2021-03,1
sanusb-grupo/wireless-monitor,CODE,1,2021-08,1
